region,timeslice,commodity,year,month,day,hour,supply
R1,0,CO2f,2025,all-year,all-week,night,1989.99490000000
R1,0,CO2f,2030,all-year,all-week,night,2053.83750000000
R1,0,transport_heavy,2025,all-year,all-week,night,14.46160000000
R1,0,transport_heavy,2030,all-year,all-week,night,15.05270000000
R1,0,transport_medium,2025,all-year,all-week,night,10.00880000000
R1,0,transport_medium,2030,all-year,all-week,night,10.41850000000
R1,0,transport_light,2025,all-year,all-week,night,4.44830000000
R1,0,transport_light,2030,all-year,all-week,night,4.63040000000
R1,0,CH4f,2025,all-year,all-week,night,10.10380000000
R1,0,CH4f,2030,all-year,all-week,night,10.96350000000
R1,0,N2Of,2025,all-year,all-week,night,0.05630000000
R1,0,N2Of,2030,all-year,all-week,night,0.05700000000
R1,1,CO2f,2025,all-year,all-week,morning,1989.99490000000
R1,1,CO2f,2030,all-year,all-week,morning,2053.83750000000
R1,1,transport_heavy,2025,all-year,all-week,morning,14.46160000000
R1,1,transport_heavy,2030,all-year,all-week,morning,15.05270000000
R1,1,transport_medium,2025,all-year,all-week,morning,10.00880000000
R1,1,transport_medium,2030,all-year,all-week,morning,10.41850000000
R1,1,transport_light,2025,all-year,all-week,morning,4.44830000000
R1,1,transport_light,2030,all-year,all-week,morning,4.63040000000
R1,1,CH4f,2025,all-year,all-week,morning,10.10380000000
R1,1,CH4f,2030,all-year,all-week,morning,10.96350000000
R1,1,N2Of,2025,all-year,all-week,morning,0.05630000000
R1,1,N2Of,2030,all-year,all-week,morning,0.05700000000
R1,2,CO2f,2025,all-year,all-week,afternoon,1989.99490000000
R1,2,CO2f,2030,all-year,all-week,afternoon,2053.83750000000
R1,2,transport_heavy,2025,all-year,all-week,afternoon,14.46160000000
R1,2,transport_heavy,2030,all-year,all-week,afternoon,15.05270000000
R1,2,transport_medium,2025,all-year,all-week,afternoon,10.00880000000
R1,2,transport_medium,2030,all-year,all-week,afternoon,10.41850000000
R1,2,transport_light,2025,all-year,all-week,afternoon,4.44830000000
R1,2,transport_light,2030,all-year,all-week,afternoon,4.63040000000
R1,2,CH4f,2025,all-year,all-week,afternoon,10.10380000000
R1,2,CH4f,2030,all-year,all-week,afternoon,10.96350000000
R1,2,N2Of,2025,all-year,all-week,afternoon,0.05630000000
R1,2,N2Of,2030,all-year,all-week,afternoon,0.05700000000
R1,3,CO2f,2025,all-year,all-week,early-peak,1989.99490000000
R1,3,CO2f,2030,all-year,all-week,early-peak,2053.83750000000
R1,3,transport_heavy,2025,all-year,all-week,early-peak,14.46160000000
R1,3,transport_heavy,2030,all-year,all-week,early-peak,15.05270000000
R1,3,transport_medium,2025,all-year,all-week,early-peak,10.00880000000
R1,3,transport_medium,2030,all-year,all-week,early-peak,10.41850000000
R1,3,transport_light,2025,all-year,all-week,early-peak,4.44830000000
R1,3,transport_light,2030,all-year,all-week,early-peak,4.63040000000
R1,3,CH4f,2025,all-year,all-week,early-peak,10.10380000000
R1,3,CH4f,2030,all-year,all-week,early-peak,10.96350000000
R1,3,N2Of,2025,all-year,all-week,early-peak,0.05630000000
R1,3,N2Of,2030,all-year,all-week,early-peak,0.05700000000
R1,4,CO2f,2025,all-year,all-week,late-peak,1989.99490000000
R1,4,CO2f,2030,all-year,all-week,late-peak,2053.83750000000
R1,4,transport_heavy,2025,all-year,all-week,late-peak,14.46160000000
R1,4,transport_heavy,2030,all-year,all-week,late-peak,15.05270000000
R1,4,transport_medium,2025,all-year,all-week,late-peak,10.00880000000
R1,4,transport_medium,2030,all-year,all-week,late-peak,10.41850000000
R1,4,transport_light,2025,all-year,all-week,late-peak,4.44830000000
R1,4,transport_light,2030,all-year,all-week,late-peak,4.63040000000
R1,4,CH4f,2025,all-year,all-week,late-peak,10.10380000000
R1,4,CH4f,2030,all-year,all-week,late-peak,10.96350000000
R1,4,N2Of,2025,all-year,all-week,late-peak,0.05630000000
R1,4,N2Of,2030,all-year,all-week,late-peak,0.05700000000
R1,5,CO2f,2025,all-year,all-week,evening,1989.99490000000
R1,5,CO2f,2030,all-year,all-week,evening,2053.83750000000
R1,5,transport_heavy,2025,all-year,all-week,evening,14.46160000000
R1,5,transport_heavy,2030,all-year,all-week,evening,15.05270000000
R1,5,transport_medium,2025,all-year,all-week,evening,10.00880000000
R1,5,transport_medium,2030,all-year,all-week,evening,10.41850000000
R1,5,transport_light,2025,all-year,all-week,evening,4.44830000000
R1,5,transport_light,2030,all-year,all-week,evening,4.63040000000
R1,5,CH4f,2025,all-year,all-week,evening,10.10380000000
R1,5,CH4f,2030,all-year,all-week,evening,10.96350000000
R1,5,N2Of,2025,all-year,all-week,evening,0.05630000000
R1,5,N2Of,2030,all-year,all-week,evening,0.05700000000
