region,timeslice,commodity,year,month,day,hour,supply
R1,0,CO2f,2035,all-year,all-week,night,2035.23150000000
R1,0,CO2f,2040,all-year,all-week,night,2093.18940000000
R1,0,transport_heavy,2035,all-year,all-week,night,15.62410000000
R1,0,transport_heavy,2040,all-year,all-week,night,16.78150000000
R1,0,transport_medium,2035,all-year,all-week,night,10.81460000000
R1,0,transport_medium,2040,all-year,all-week,night,11.61680000000
R1,0,transport_light,2035,all-year,all-week,night,4.80650000000
R1,0,transport_light,2040,all-year,all-week,night,5.16300000000
R1,0,CH4f,2035,all-year,all-week,night,13.96790000000
R1,0,CH4f,2040,all-year,all-week,night,15.00620000000
R1,0,N2Of,2035,all-year,all-week,night,0.05030000000
R1,0,N2Of,2040,all-year,all-week,night,0.04800000000
R1,1,CO2f,2035,all-year,all-week,morning,2035.23150000000
R1,1,CO2f,2040,all-year,all-week,morning,2093.18940000000
R1,1,transport_heavy,2035,all-year,all-week,morning,15.62410000000
R1,1,transport_heavy,2040,all-year,all-week,morning,16.78150000000
R1,1,transport_medium,2035,all-year,all-week,morning,10.81460000000
R1,1,transport_medium,2040,all-year,all-week,morning,11.61680000000
R1,1,transport_light,2035,all-year,all-week,morning,4.80650000000
R1,1,transport_light,2040,all-year,all-week,morning,5.16300000000
R1,1,CH4f,2035,all-year,all-week,morning,13.96790000000
R1,1,CH4f,2040,all-year,all-week,morning,15.00620000000
R1,1,N2Of,2035,all-year,all-week,morning,0.05030000000
R1,1,N2Of,2040,all-year,all-week,morning,0.04800000000
R1,2,CO2f,2035,all-year,all-week,afternoon,2035.23150000000
R1,2,CO2f,2040,all-year,all-week,afternoon,2093.18940000000
R1,2,transport_heavy,2035,all-year,all-week,afternoon,15.62410000000
R1,2,transport_heavy,2040,all-year,all-week,afternoon,16.78150000000
R1,2,transport_medium,2035,all-year,all-week,afternoon,10.81460000000
R1,2,transport_medium,2040,all-year,all-week,afternoon,11.61680000000
R1,2,transport_light,2035,all-year,all-week,afternoon,4.80650000000
R1,2,transport_light,2040,all-year,all-week,afternoon,5.16300000000
R1,2,CH4f,2035,all-year,all-week,afternoon,13.96790000000
R1,2,CH4f,2040,all-year,all-week,afternoon,15.00620000000
R1,2,N2Of,2035,all-year,all-week,afternoon,0.05030000000
R1,2,N2Of,2040,all-year,all-week,afternoon,0.04800000000
R1,3,CO2f,2035,all-year,all-week,early-peak,2035.23150000000
R1,3,CO2f,2040,all-year,all-week,early-peak,2093.18940000000
R1,3,transport_heavy,2035,all-year,all-week,early-peak,15.62410000000
R1,3,transport_heavy,2040,all-year,all-week,early-peak,16.78150000000
R1,3,transport_medium,2035,all-year,all-week,early-peak,10.81460000000
R1,3,transport_medium,2040,all-year,all-week,early-peak,11.61680000000
R1,3,transport_light,2035,all-year,all-week,early-peak,4.80650000000
R1,3,transport_light,2040,all-year,all-week,early-peak,5.16300000000
R1,3,CH4f,2035,all-year,all-week,early-peak,13.96790000000
R1,3,CH4f,2040,all-year,all-week,early-peak,15.00620000000
R1,3,N2Of,2035,all-year,all-week,early-peak,0.05030000000
R1,3,N2Of,2040,all-year,all-week,early-peak,0.04800000000
R1,4,CO2f,2035,all-year,all-week,late-peak,2035.23150000000
R1,4,CO2f,2040,all-year,all-week,late-peak,2093.18940000000
R1,4,transport_heavy,2035,all-year,all-week,late-peak,15.62410000000
R1,4,transport_heavy,2040,all-year,all-week,late-peak,16.78150000000
R1,4,transport_medium,2035,all-year,all-week,late-peak,10.81460000000
R1,4,transport_medium,2040,all-year,all-week,late-peak,11.61680000000
R1,4,transport_light,2035,all-year,all-week,late-peak,4.80650000000
R1,4,transport_light,2040,all-year,all-week,late-peak,5.16300000000
R1,4,CH4f,2035,all-year,all-week,late-peak,13.96790000000
R1,4,CH4f,2040,all-year,all-week,late-peak,15.00620000000
R1,4,N2Of,2035,all-year,all-week,late-peak,0.05030000000
R1,4,N2Of,2040,all-year,all-week,late-peak,0.04800000000
R1,5,CO2f,2035,all-year,all-week,evening,2035.23150000000
R1,5,CO2f,2040,all-year,all-week,evening,2093.18940000000
R1,5,transport_heavy,2035,all-year,all-week,evening,15.62410000000
R1,5,transport_heavy,2040,all-year,all-week,evening,16.78150000000
R1,5,transport_medium,2035,all-year,all-week,evening,10.81460000000
R1,5,transport_medium,2040,all-year,all-week,evening,11.61680000000
R1,5,transport_light,2035,all-year,all-week,evening,4.80650000000
R1,5,transport_light,2040,all-year,all-week,evening,5.16300000000
R1,5,CH4f,2035,all-year,all-week,evening,13.96790000000
R1,5,CH4f,2040,all-year,all-week,evening,15.00620000000
R1,5,N2Of,2035,all-year,all-week,evening,0.05030000000
R1,5,N2Of,2040,all-year,all-week,evening,0.04800000000
